Amar_DN100023_c0_g1	Pele_DN144895_c2_g1
Amar_DN102287_c0_g1	Pdum_DN6255_c0_g1
Amar_DN102287_c0_g1	Pdum_DN6255_c0_g1
Amar_DN102321_c0_g1	Pele_DN130685_c0_g2
Amar_DN102321_c0_g1	Pele_DN130685_c0_g2
Amar_DN102321_c0_g1	Pele_DN130685_c0_g2
Amar_DN102321_c0_g1	Pele_DN130685_c0_g2
Amar_DN102325_c0_g1	Pele_DN134820_c0_g1
Amar_DN10236_c0_g1	Pdum_DN77846_c0_g1
Amar_DN10236_c0_g1	Pele_DN143180_c0_g1
Amar_DN102365_c0_g1	Pdum_DN186265_c0_g1
Amar_DN102417_c0_g1	Pdum_DN3630_c0_g1
Amar_DN102417_c0_g1	Pele_DN212731_c0_g1
Amar_DN102440_c0_g1	Pdum_DN218726_c0_g1
Amar_DN102452_c0_g1	Pdum_DN163692_c0_g1
Amar_DN102461_c0_g1	Pdum_DN187235_c0_g1
Amar_DN102461_c0_g1	Pele_DN154655_c0_g2
Amar_DN102461_c0_g1	Pele_DN154655_c0_g2
Amar_DN10247_c0_g1	Pdum_DN166397_c0_g1
Amar_DN102490_c0_g1	Pele_DN158232_c2_g7
Amar_DN102504_c0_g1	Pdum_DN1188_c0_g1
Amar_DN102504_c0_g1	Pdum_DN1188_c0_g1
Amar_DN102509_c0_g1	Pdum_DN116511_c0_g1
Amar_DN10254_c0_g1	Pele_DN158512_c1_g22
Amar_DN102583_c0_g1	Pdum_DN22874_c0_g1
Amar_DN102583_c0_g1	Pdum_DN22874_c0_g1
Amar_DN102583_c0_g1	Pdum_DN22874_c0_g1
Amar_DN102583_c0_g1	Pdum_DN22874_c0_g1
Amar_DN102583_c0_g1	Pele_DN273200_c0_g1
Amar_DN102593_c0_g1	Pele_DN145164_c1_g1
Amar_DN102598_c0_g1	Pele_DN152986_c0_g1
Amar_DN102598_c0_g1	Pele_DN152986_c0_g1
Amar_DN102624_c0_g1	Pele_DN158145_c2_g1
Amar_DN102624_c0_g1	Pele_DN158145_c2_g1
Amar_DN102668_c0_g1	Pdum_DN4844_c0_g1
Amar_DN102672_c0_g1	Pele_DN143875_c0_g1
Amar_DN102672_c0_g1	Pele_DN143875_c0_g1
Amar_DN102672_c0_g1	Pele_DN143875_c0_g1
Amar_DN102680_c0_g1	Pele_DN155303_c2_g4
Amar_DN102680_c0_g1	Pele_DN155303_c2_g4
Amar_DN102682_c0_g1	Pele_DN158106_c2_g2
Amar_DN102690_c0_g1	Pele_DN119905_c0_g1
Amar_DN10271_c0_g1	Pdum_DN12532_c0_g1
Amar_DN10271_c0_g1	Pele_DN102436_c0_g1
Amar_DN102722_c0_g1	Pdum_DN4404_c0_g1
Amar_DN102766_c0_g1	Pdum_DN1833_c0_g1
Amar_DN102807_c0_g1	Pdum_DN143317_c0_g1
Amar_DN102807_c0_g1	Pele_DN199171_c0_g1
Amar_DN102843_c0_g1	Pdum_DN6622_c0_g1
Amar_DN102843_c0_g1	Pdum_DN6622_c0_g1
Amar_DN102843_c0_g1	Pdum_DN6622_c0_g1
Amar_DN102869_c0_g1	Pele_DN124129_c0_g1
Amar_DN102880_c0_g1	Pele_DN126629_c0_g1
Amar_DN102890_c0_g1	Pdum_DN8667_c0_g1
Amar_DN102890_c0_g1	Pdum_DN8667_c0_g1
Amar_DN102890_c0_g1	Pele_DN273685_c0_g1
Amar_DN102950_c0_g1	Pele_DN150275_c0_g3
Amar_DN102969_c0_g1	Pele_DN153296_c3_g1
Amar_DN102984_c0_g1	Pele_DN159459_c2_g2
Amar_DN102984_c0_g1	Pele_DN159459_c2_g2
Amar_DN102985_c0_g1	Pdum_DN143502_c0_g1
Amar_DN103_c0_g1	Pdum_DN5783_c0_g1
Amar_DN103017_c0_g1	Pele_DN213388_c0_g1
Amar_DN103020_c0_g1	Pdum_DN57161_c0_g1
Amar_DN103020_c0_g1	Pdum_DN57161_c0_g1
Amar_DN103020_c0_g1	Pdum_DN57161_c0_g1
Amar_DN103029_c0_g1	Pdum_DN4117_c0_g1
Amar_DN103046_c0_g1	Pdum_DN1830_c1_g1
Amar_DN103046_c0_g1	Pdum_DN1830_c1_g1
Amar_DN103046_c0_g1	Pdum_DN1830_c1_g1
Amar_DN103071_c0_g1	Pele_DN135731_c0_g1
Amar_DN103086_c0_g1	Pele_DN142425_c0_g5
Amar_DN103086_c0_g1	Pele_DN142425_c0_g5
Amar_DN103129_c0_g1	Pdum_DN255946_c0_g1
Amar_DN10313_c0_g1	Pdum_DN2502_c0_g1
Amar_DN10313_c1_g1	Pdum_DN2502_c0_g1
Amar_DN103154_c0_g1	Pdum_DN503_c0_g1
Amar_DN103154_c0_g1	Pele_DN347829_c0_g1
Amar_DN103157_c0_g1	Pdum_DN15927_c0_g2
Amar_DN103158_c0_g1	Pele_DN129403_c1_g1
Amar_DN103158_c0_g1	Pele_DN129403_c1_g1
Amar_DN103197_c0_g1	Pdum_DN4210_c0_g1
Amar_DN103211_c0_g1	Pele_DN134667_c2_g2
Amar_DN103221_c0_g1	Pele_DN155312_c1_g4
Amar_DN103226_c0_g1	Pele_DN147905_c0_g1
Amar_DN103227_c0_g1	Pele_DN148353_c0_g1
Amar_DN103227_c0_g1	Pele_DN148353_c0_g1
Amar_DN103231_c0_g1	Pdum_DN13034_c0_g2
Amar_DN103231_c0_g1	Pdum_DN13034_c0_g2
Amar_DN103258_c0_g1	Pele_DN155419_c0_g3
Amar_DN103261_c0_g1	Pele_DN160485_c1_g2
Amar_DN103306_c0_g1	Pele_DN134375_c0_g1
Amar_DN103306_c0_g1	Pele_DN134375_c0_g1
Amar_DN103306_c0_g1	Pele_DN134375_c0_g1
Amar_DN103331_c0_g1	Pdum_DN111048_c0_g1
Amar_DN103331_c0_g1	Pdum_DN111048_c0_g1
Amar_DN103331_c0_g1	Pele_DN160574_c2_g3
Amar_DN103351_c0_g1	Pdum_DN264700_c0_g1
Amar_DN103351_c0_g1	Pele_DN109992_c0_g1
Amar_DN103411_c0_g1	Pdum_DN5651_c0_g2
Amar_DN103411_c0_g1	Pele_DN14634_c0_g1
Amar_DN103436_c0_g1	Pele_DN152038_c0_g1
Amar_DN103481_c0_g1	Pdum_DN209714_c0_g1
Amar_DN103481_c0_g1	Pele_DN106488_c0_g1
Amar_DN103485_c0_g1	Pele_DN152356_c0_g2
Amar_DN103485_c0_g1	Pele_DN152356_c0_g2
Amar_DN103560_c0_g1	Pele_DN160521_c4_g2
Amar_DN103592_c0_g1	Pele_DN160647_c1_g1
Amar_DN103595_c0_g1	Pele_DN147449_c0_g1
Amar_DN103601_c0_g1	Pdum_DN7843_c0_g1
Amar_DN103609_c0_g1	Pele_DN140640_c0_g1
Amar_DN103609_c0_g1	Pele_DN140640_c0_g1
Amar_DN103609_c0_g1	Pele_DN140640_c0_g1
Amar_DN103609_c0_g1	Pele_DN140640_c0_g1
Amar_DN103609_c0_g1	Pele_DN140640_c0_g1
Amar_DN103609_c0_g1	Pele_DN140640_c0_g1
Amar_DN103609_c0_g1	Pele_DN140640_c0_g1
Amar_DN103618_c0_g1	Pdum_DN556_c0_g2
Amar_DN103618_c0_g1	Pdum_DN556_c0_g2
Amar_DN103618_c0_g1	Pdum_DN556_c0_g2
Amar_DN103618_c0_g1	Pdum_DN556_c0_g2
Amar_DN103656_c0_g1	Pdum_DN5126_c0_g1
Amar_DN103656_c0_g1	Pdum_DN5126_c0_g1
Amar_DN103656_c0_g1	Pdum_DN5126_c0_g1
Amar_DN103656_c0_g1	Pdum_DN5126_c0_g1
Amar_DN103691_c0_g1	Pele_DN152919_c0_g1
Amar_DN103734_c0_g1	Pele_DN158813_c3_g1
Amar_DN103738_c0_g1	Pele_DN144120_c0_g1
Amar_DN103754_c0_g1	Pele_DN158333_c2_g1
Amar_DN103756_c0_g1	Pele_DN156672_c1_g1
Amar_DN103774_c0_g1	Pdum_DN4029_c0_g1
Amar_DN103774_c0_g1	Pdum_DN4029_c0_g1
Amar_DN103778_c0_g1	Pdum_DN1200_c1_g1
Amar_DN103794_c0_g1	Pele_DN86351_c0_g1
Amar_DN103814_c0_g1	Pdum_DN2300_c0_g1
Amar_DN103814_c0_g1	Pdum_DN2300_c0_g1
Amar_DN103814_c0_g1	Pdum_DN2300_c0_g1
Amar_DN103820_c0_g1	Pdum_DN6875_c0_g1
Amar_DN103821_c0_g1	Pele_DN355184_c0_g1
Amar_DN103831_c0_g1	Pdum_DN605_c0_g1
Amar_DN103831_c0_g1	Pdum_DN605_c0_g1
Amar_DN103831_c0_g1	Pdum_DN605_c0_g1
Amar_DN103831_c0_g1	Pdum_DN605_c0_g1
Amar_DN103831_c0_g1	Pdum_DN605_c0_g1
Amar_DN103835_c0_g1	Pele_DN137649_c0_g1
Amar_DN10384_c0_g1	Pdum_DN208986_c0_g1
Amar_DN10384_c0_g1	Pele_DN140573_c3_g1
Amar_DN10384_c0_g1	Pele_DN140573_c3_g1
Amar_DN103864_c0_g1	Pele_DN158062_c0_g1
Amar_DN103864_c0_g1	Pele_DN158062_c0_g1
Amar_DN103870_c0_g1	Pele_DN155843_c2_g7
Amar_DN103870_c0_g1	Pele_DN155843_c2_g7
Amar_DN103884_c0_g1	Pele_DN282366_c0_g1
Amar_DN103902_c0_g1	Pele_DN156916_c1_g1
Amar_DN103902_c0_g1	Pele_DN156916_c1_g1
Amar_DN103902_c0_g1	Pele_DN156916_c1_g1
Amar_DN103902_c0_g1	Pele_DN156916_c1_g1
Amar_DN103915_c0_g1	Pele_DN147383_c6_g2
Amar_DN103963_c0_g1	Pele_DN160593_c3_g1
Amar_DN103963_c0_g1	Pele_DN160593_c3_g1
Amar_DN103963_c0_g1	Pele_DN160593_c3_g1
Amar_DN103977_c0_g1	Pele_DN158641_c0_g3
Amar_DN104162_c0_g1	Pdum_DN155535_c0_g1
Amar_DN104162_c0_g1	Pele_DN133941_c1_g1
Amar_DN104213_c0_g1	Pele_DN158356_c1_g2
Amar_DN104244_c0_g1	Pdum_DN257093_c0_g1
Amar_DN104244_c0_g1	Pele_DN157802_c3_g1
Amar_DN104295_c0_g1	Pdum_DN4739_c0_g1
Amar_DN104300_c0_g1	Pdum_DN165554_c0_g1
Amar_DN104300_c0_g1	Pele_DN153707_c0_g1
Amar_DN104303_c0_g1	Pdum_DN165560_c0_g1
Amar_DN104358_c0_g1	Pdum_DN7374_c0_g1
Amar_DN104358_c0_g1	Pele_DN58297_c0_g1
Amar_DN104414_c0_g1	Pele_DN159099_c3_g1
Amar_DN104490_c0_g1	Pele_DN134364_c0_g1
Amar_DN104535_c0_g1	Pdum_DN8299_c0_g1
Amar_DN104568_c0_g1	Pdum_DN234899_c0_g1
Amar_DN10461_c0_g1	Pdum_DN213860_c0_g1
Amar_DN104648_c0_g1	Pdum_DN257498_c0_g1
Amar_DN104648_c0_g1	Pele_DN119751_c0_g1
Amar_DN104667_c0_g1	Pele_DN131321_c0_g1
Amar_DN104686_c0_g1	Pdum_DN1389_c0_g1
Amar_DN104687_c0_g1	Pele_DN147549_c0_g2
Amar_DN104687_c0_g1	Pele_DN147549_c0_g2
Amar_DN104718_c0_g1	Pdum_DN1784_c0_g1
Amar_DN104718_c0_g1	Pele_DN276603_c0_g1
Amar_DN104726_c0_g1	Pdum_DN2277_c0_g1
Amar_DN104842_c0_g1	Pele_DN144351_c0_g1
Amar_DN104842_c0_g1	Pele_DN144351_c0_g1
Amar_DN104845_c0_g1	Pele_DN135062_c2_g2
Amar_DN104981_c0_g1	Pdum_DN1335_c0_g1
Amar_DN104981_c0_g1	Pdum_DN1335_c0_g1
Amar_DN104981_c0_g1	Pdum_DN1335_c0_g1
Amar_DN104981_c0_g1	Pdum_DN1335_c0_g1
Amar_DN104981_c0_g1	Pdum_DN1335_c0_g1
Amar_DN104994_c0_g1	Pdum_DN10080_c0_g1
Amar_DN105039_c0_g1	Pdum_DN7150_c0_g1
Amar_DN105050_c0_g1	Pele_DN166313_c0_g1
Amar_DN105082_c0_g1	Pele_DN146234_c0_g6
Amar_DN105111_c0_g1	Pele_DN157226_c3_g2
Amar_DN105147_c0_g1	Pdum_DN5138_c0_g1
Amar_DN105190_c0_g1	Pele_DN136866_c0_g2
Amar_DN105252_c0_g1	Pele_DN138938_c0_g1
Amar_DN105261_c0_g1	Pele_DN155061_c1_g1
Amar_DN105297_c0_g1	Pele_DN159432_c2_g1
Amar_DN105303_c0_g1	Pele_DN139244_c0_g2
Amar_DN105310_c0_g1	Pele_DN160261_c1_g3
Amar_DN105318_c0_g1	Pele_DN150540_c2_g1
Amar_DN105379_c0_g1	Pele_DN108630_c0_g1
Amar_DN105386_c0_g1	Pele_DN158560_c1_g3
Amar_DN105386_c0_g1	Pele_DN158560_c1_g3
Amar_DN105397_c0_g1	Pdum_DN13448_c0_g1
Amar_DN105397_c1_g1	Pele_DN18370_c0_g1
Amar_DN105400_c0_g1	Pele_DN153930_c6_g1
Amar_DN105400_c0_g1	Pele_DN153930_c6_g1
Amar_DN105400_c0_g1	Pele_DN153930_c6_g1
Amar_DN105400_c0_g1	Pele_DN153930_c6_g1
Amar_DN105413_c0_g1	Pele_DN153801_c1_g2
Amar_DN105417_c0_g1	Pele_DN150802_c1_g5
Amar_DN105417_c0_g1	Pele_DN150802_c1_g5
Amar_DN105430_c0_g1	Pele_DN135309_c0_g1
Amar_DN105430_c0_g1	Pele_DN135309_c0_g1
Amar_DN105430_c0_g1	Pele_DN135309_c0_g1
Amar_DN105434_c0_g1	Pele_DN144965_c1_g1
Amar_DN105434_c0_g1	Pele_DN144965_c1_g1
Amar_DN105434_c0_g1	Pele_DN144965_c1_g1
Amar_DN105448_c0_g1	Pele_DN154241_c1_g4
Amar_DN105448_c0_g1	Pele_DN154241_c1_g4
Amar_DN105474_c0_g1	Pdum_DN3036_c0_g1
Amar_DN105474_c0_g1	Pdum_DN3036_c0_g1
Amar_DN105520_c0_g1	Pdum_DN211813_c0_g1
Amar_DN10554_c0_g1	Pele_DN144666_c0_g1
Amar_DN105559_c0_g1	Pdum_DN5285_c0_g1
Amar_DN105579_c0_g1	Pele_DN146893_c3_g3
Amar_DN105621_c0_g1	Pdum_DN419_c0_g1
Amar_DN105621_c0_g1	Pdum_DN419_c0_g1
Amar_DN105621_c0_g1	Pele_DN89886_c0_g1
Amar_DN105659_c0_g1	Pdum_DN138143_c0_g1
Amar_DN105659_c0_g1	Pele_DN149908_c14_g1
Amar_DN105709_c0_g1	Pele_DN237931_c0_g1
Amar_DN105727_c0_g1	Pdum_DN4856_c0_g1
Amar_DN105727_c0_g1	Pdum_DN4856_c0_g1
Amar_DN105733_c0_g1	Pele_DN160574_c4_g1
Amar_DN105741_c0_g1	Pele_DN157368_c0_g6
Amar_DN105741_c0_g1	Pele_DN157368_c0_g6
Amar_DN105752_c0_g1	Pele_DN141950_c0_g1
Amar_DN105765_c0_g1	Pele_DN160214_c0_g2
Amar_DN105767_c0_g1	Pele_DN135157_c0_g2
Amar_DN105767_c0_g1	Pele_DN135157_c0_g2
Amar_DN105769_c0_g1	Pdum_DN13333_c0_g1
Amar_DN105769_c0_g1	Pele_DN145692_c0_g1
Amar_DN10579_c0_g1	Pdum_DN8515_c0_g1
Amar_DN105810_c0_g1	Pele_DN148083_c1_g2
Amar_DN105837_c0_g1	Pele_DN151794_c0_g5
Amar_DN105847_c0_g1	Pdum_DN146029_c0_g1
Amar_DN105852_c0_g1	Pele_DN156231_c0_g6
Amar_DN105852_c0_g1	Pele_DN156231_c0_g6
Amar_DN105889_c0_g1	Pdum_DN257405_c0_g1
Amar_DN105897_c0_g1	Pele_DN160222_c1_g15
Amar_DN105925_c0_g1	Pele_DN155089_c0_g8
Amar_DN105940_c0_g1	Pdum_DN258812_c0_g1
Amar_DN105948_c0_g1	Pele_DN155469_c2_g2
Amar_DN105988_c0_g1	Pdum_DN2964_c0_g1
Amar_DN105988_c0_g1	Pdum_DN2964_c0_g1
Amar_DN106047_c0_g1	Pele_DN157269_c1_g4
Amar_DN106063_c0_g1	Pele_DN144711_c1_g12
Amar_DN106136_c0_g1	Pele_DN145183_c0_g1
Amar_DN106147_c0_g1	Pele_DN34465_c0_g1
Amar_DN106162_c0_g1	Pele_DN95980_c0_g1
Amar_DN106162_c0_g1	Pele_DN95980_c0_g1
Amar_DN106238_c0_g1	Pele_DN151010_c2_g1
Amar_DN106247_c0_g1	Pdum_DN10090_c0_g1
Amar_DN106269_c0_g1	Pele_DN157382_c5_g5
Amar_DN106297_c0_g1	Pele_DN160616_c3_g1
Amar_DN106320_c0_g1	Pele_DN155746_c0_g1
Amar_DN106326_c0_g1	Pele_DN137864_c0_g1
Amar_DN106334_c0_g1	Pele_DN146642_c5_g1
Amar_DN106364_c0_g1	Pele_DN146445_c0_g3
Amar_DN106364_c0_g1	Pele_DN146445_c0_g3
Amar_DN106376_c0_g1	Pele_DN146040_c0_g2
Amar_DN106400_c0_g1	Pele_DN151578_c0_g4
Amar_DN106402_c0_g1	Pele_DN155279_c0_g3
Amar_DN106402_c0_g1	Pele_DN155279_c0_g3
Amar_DN106402_c0_g1	Pele_DN155279_c0_g3
Amar_DN106407_c0_g1	Pele_DN149701_c0_g1
Amar_DN106455_c0_g1	Pdum_DN208604_c0_g1
Amar_DN106479_c0_g1	Pele_DN142592_c0_g1
Amar_DN10648_c0_g1	Pdum_DN166557_c0_g1
Amar_DN10648_c0_g1	Pele_DN125710_c0_g1
Amar_DN10648_c1_g1	Pdum_DN166557_c0_g1
Amar_DN10648_c1_g1	Pele_DN125710_c0_g1
Amar_DN106490_c0_g1	Pele_DN138374_c3_g5
Amar_DN106558_c0_g1	Pele_DN156207_c1_g13
Amar_DN106558_c0_g1	Pele_DN156207_c1_g13
Amar_DN106573_c0_g1	Pele_DN158368_c1_g16
